# File generated with https://github.com/funilrys/funceble
# Date of generation: Fri Oct 13 02:27:57 UTC 2017


Domain                                                                                               Status      HTTP Code  Analyse Date        
ads.yimg.com                                                                                         ACTIVE      404        Fri Oct 13 02:40:27 UTC 2017
ads.yldmgrimg.net                                                                                    ACTIVE      403        Fri Oct 13 02:40:28 UTC 2017
adsys.townnews.com                                                                                   ACTIVE      404        Fri Oct 13 02:40:31 UTC 2017
ad.thewheelof.com                                                                                    ACTIVE      403        Fri Oct 13 02:40:37 UTC 2017
ad.tv2.no                                                                                            ACTIVE      404        Fri Oct 13 02:40:47 UTC 2017
adverticus.de                                                                                        ACTIVE      403        Fri Oct 13 02:40:58 UTC 2017
advideo.uimserv.net                                                                                  ACTIVE      404        Fri Oct 13 02:41:12 UTC 2017
ad.virtual-nights.com                                                                                ACTIVE      404        Fri Oct 13 02:41:14 UTC 2017
adyea.com                                                                                            ACTIVE      403        Fri Oct 13 02:41:39 UTC 2017
adzerk.s3.amazonaws.com                                                                              ACTIVE      403        Fri Oct 13 02:41:44 UTC 2017
affbuzzads.com                                                                                       ACTIVE      404        Fri Oct 13 02:41:46 UTC 2017
affiliation-france.com                                                                               ACTIVE      403        Fri Oct 13 02:42:09 UTC 2017
alexa-sitestats.s3.amazonaws.com                                                                     ACTIVE      403        Fri Oct 13 02:42:20 UTC 2017
a.mktw.net                                                                                           ACTIVE      403        Fri Oct 13 02:42:25 UTC 2017
analytics.live.com                                                                                   ACTIVE      403        Fri Oct 13 02:42:28 UTC 2017
ard.xxxblackbook.com                                                                                 ACTIVE      404        Fri Oct 13 02:42:37 UTC 2017
assets1.exgfnetwork.com                                                                              ACTIVE      403        Fri Oct 13 02:42:39 UTC 2017
as.webmd.com                                                                                         ACTIVE      404        Fri Oct 13 02:42:41 UTC 2017
a.ucoz.net                                                                                           ACTIVE      403        Fri Oct 13 02:42:44 UTC 2017
a.ucoz.ru                                                                                            ACTIVE      404        Fri Oct 13 02:42:45 UTC 2017
avpa.javalobby.org                                                                                   ACTIVE      404        Fri Oct 13 02:42:54 UTC 2017
banik.redigy.cz                                                                                      ACTIVE      403        Fri Oct 13 02:43:04 UTC 2017
banner.casinodelrio.com                                                                              ACTIVE      403        Fri Oct 13 02:43:12 UTC 2017
banner.eurogrand.com                                                                                 ACTIVE      403        Fri Oct 13 02:43:21 UTC 2017
banner.getgo.de                                                                                      ACTIVE      400        Fri Oct 13 02:43:24 UTC 2017
banners.czi.cz                                                                                       ACTIVE      400        Fri Oct 13 02:43:59 UTC 2017
banners.isoftmarketing.com                                                                           ACTIVE      403        Fri Oct 13 02:44:10 UTC 2017
banners.sexsearch.com                                                                                ACTIVE      404        Fri Oct 13 02:44:16 UTC 2017
banners.videosz.com                                                                                  ACTIVE      403        Fri Oct 13 02:44:18 UTC 2017
banners.virtuagirlhd.com                                                                             ACTIVE      403        Fri Oct 13 02:44:19 UTC 2017
banners.wunderground.com                                                                             ACTIVE      403        Fri Oct 13 02:44:21 UTC 2017
b.aol.com                                                                                            ACTIVE      404        Fri Oct 13 02:44:33 UTC 2017
b.engadget.com                                                                                       ACTIVE      404        Fri Oct 13 02:44:45 UTC 2017
bidvertiser.com                                                                                      ACTIVE      403        Fri Oct 13 02:44:51 UTC 2017
bpath.com                                                                                            ACTIVE      403        Fri Oct 13 02:45:12 UTC 2017
bs.yandex.ru                                                                                         ACTIVE      404        Fri Oct 13 02:45:16 UTC 2017
bullseye.backbeatmedia.com                                                                           ACTIVE      400        Fri Oct 13 02:45:17 UTC 2017
buzzonclick.com                                                                                      ACTIVE      403        Fri Oct 13 02:45:19 UTC 2017
campaign.bharatmatrimony.com                                                                         ACTIVE      403        Fri Oct 13 02:45:23 UTC 2017
cbanners.virtuagirlhd.com                                                                            ACTIVE      403        Fri Oct 13 02:45:37 UTC 2017
cdn.freefacti.com                                                                                    ACTIVE      400        Fri Oct 13 02:45:39 UTC 2017
ceskydomov.alias.ngs.modry.cz                                                                        ACTIVE      403        Fri Oct 13 02:45:42 UTC 2017
clickbank.net                                                                                        ACTIVE      403        Fri Oct 13 02:46:04 UTC 2017
clickserve.cc-dt.com                                                                                 ACTIVE      404        Fri Oct 13 02:46:18 UTC 2017
clicktag.de                                                                                          ACTIVE      403        Fri Oct 13 02:46:20 UTC 2017
clickthrutraffic.com                                                                                 ACTIVE      403        Fri Oct 13 02:46:22 UTC 2017
clicktrack.ziyu.net                                                                                  ACTIVE      403        Fri Oct 13 02:46:24 UTC 2017
clientmetrics-pa.googleapis.com                                                                      ACTIVE      404        Fri Oct 13 02:46:29 UTC 2017
compactbanner.com                                                                                    ACTIVE      403        Fri Oct 13 02:46:44 UTC 2017
counter.snackly.co                                                                                   ACTIVE      403        Fri Oct 13 02:47:09 UTC 2017
count.west263.com                                                                                    ACTIVE      403        Fri Oct 13 02:47:17 UTC 2017
cpxinteractive.com                                                                                   ACTIVE      404        Fri Oct 13 02:47:24 UTC 2017
d.adroll.com                                                                                         ACTIVE      404        Fri Oct 13 02:47:42 UTC 2017
discountclick.com                                                                                    ACTIVE      403        Fri Oct 13 02:48:01 UTC 2017
enquisite.com                                                                                        ACTIVE      404        Fri Oct 13 02:48:36 UTC 2017
entrecard.s3.amazonaws.com                                                                           ACTIVE      403        Fri Oct 13 02:48:39 UTC 2017
etahub.com                                                                                           ACTIVE      403        Fri Oct 13 02:48:43 UTC 2017
eu1.madsone.com                                                                                      ACTIVE      403        Fri Oct 13 02:48:46 UTC 2017
eur.a1.yimg.com                                                                                      ACTIVE      403        Fri Oct 13 02:48:47 UTC 2017
euros4click.de                                                                                       ACTIVE      403        Fri Oct 13 02:48:50 UTC 2017
